ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,FullAddress,CensusTract_Fetched
OLDER ADULT CENTER CONTRACTS,C9002,WAYSIDE OUT BROWNSVILLE SOCIAL CLUB (C90),WAYSIDE OUT-REACH DEVELOPMENT INC,528 Mother Gaston Blvd,BROOKLYN,NY,11212,BROOKLYN,347-938-8453,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.665956,-73.905923,316.0,41.0,912.0,3325326.0,3035610001.0,Brownsville,POINT (-73.905923 40.665956),"528 Mother Gaston Blvd, BROOKLYN, NY 11212",091200
OLDER ADULT CENTER CONTRACTS,W1907,PSS KING TOWERS (W19),PRESBYTERIAN SENIOR SERVICES,50 Lenox Avenue,NEW YORK,NY,10026,MANHATTAN,646-861-2077,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.799593,-73.951421,110.0,9.0,186.0,1083312.0,1015960001.0,Central Harlem South,POINT (-73.951421 40.799593),"50 Lenox Avenue, NEW YORK, NY 10026",018600
HOME DELIVERED MEAL SERVICE CONTRACTS,42N02,CCNS HDM - QUEENS 2 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101 Avenue,JAMAICA,NY,11416,QUEENS,718-806-1080,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.686027,-73.839777,409.0,28.0,112.0,4198392.0,4094210001.0,Richmond Hill,POINT (-73.839777 40.686027),"103-02 101 Avenue, JAMAICA, NY 11416",011200
HOME DELIVERED MEAL SERVICE CONTRACTS,42N03,CCNS HDM - QUEENS 3 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,91-34 182 Place,JAMAICA,NY,11423,QUEENS,718-806-1080,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.709634,-73.778431,412.0,27.0,470.0,4211802.0,4099000001.0,Jamaica,POINT (-73.778431 40.709634),"91-34 182 Place, JAMAICA, NY 11423",047000
OLDER ADULT CENTER CONTRACTS,C5502,POLISH AND SLAVIC CENTER INC (C55),POLISH & SLAVIC CENTER INC,103 East 7th Street,NEW YORK,NY,10009,MANHATTAN,212-673-7704,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.726683,-73.985016,103.0,2.0,32.0,1005851.0,1004350049.0,East Village,POINT (-73.985016 40.726683),"103 East 7th Street, NEW YORK, NY 10009",003200
HOME DELIVERED MEAL SERVICE CONTRACTS,46S01,FLORENCE E. SMITH SENIOR SERVICES (46S),CORONA CONGREGATIONAL CHURCH,102-19 34TH AVENUE,FLUSHING,NY,11368,QUEENS,718-899-0553,Y,,,,,,,,,,,,,,,40.755742,-73.865988,403.0,21.0,379.0,4042602.0,4017170033.0,North Corona,POINT (-73.865988 40.755742),"102-19 34TH AVENUE, FLUSHING, NY 11368",037900
HOME DELIVERED MEAL SERVICE CONTRACTS,24E01,JASA BROOKLYN HOME DELIVERED MEALS - BROOKLYN 6 (24E),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718-769-7455,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.651173,-73.885082,305.0,42.0,105801.0,3336175.0,3044350001.0,Starrett City,POINT (-73.885082 40.651173),"1201 PENNSYLVANIA AVENUE, BROOKLYN, NY 11239",105801
HOME DELIVERED MEAL SERVICE CONTRACTS,28E03,RISEBORO HDM - BROOKLYN 3 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366),"80 Seigel Street, BROOKLYN, NY 11206",049100
TRANSPORTATION SERVICES CONTRACTS,10601,MID-BRONX - TRAN INDIVIDUAL RIDES - BX SOUTH (106),MID BRONX SENIOR CITIZENS COUNCIL INC,900 Grand Concourse,BRONX,NY,10451,BRONX,718-588-8200,Y,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,8:00,4:00,0:00,0:00,0:00,0:00,40.827412,-73.922277,204.0,16.0,18301.0,2002802.0,2024600001.0,East Concourse-Concourse Village,POINT (-73.922277 40.827412),"900 Grand Concourse, BRONX, NY 10451",018301
HOME DELIVERED MEAL SERVICE CONTRACTS,28E01,RISEBORO HDM - BROOKLYN 1 (28E),RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,BROOKLYN,NY,11206,BROOKLYN,718-416-4599,Y,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,9:00,5:00,0:00,0:00,0:00,0:00,40.704366,-73.943775,301.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg,POINT (-73.943775 40.704366),"80 Seigel Street, BROOKLYN, NY 11206",049100
